Mwaghavul,pl,PoS,IPA,Gloss,Examples
màar mwos,,n.p,máár mos,,"see màar mos, kimos"
màar sèn,,n.p,máár sen,cultivation of land for planting millet,from late July to late September. Also sèn
Maarɓang,,p.n,máárbán,spirit,"that protects a female member of the house married elsewhere as well as her children and connects them to the family ties of her parents. According Mwaghavul to custom, a woman returns to her parents temporarily having after children. Sacrifice is offered to Maarbang for their protection"
maarshang,,n,máárfán,S.O. who is enthusiastic about farming and grows large quantities of crops,Mo a maarshang They are farming enthusiasts
màas,,n,mààs,unrefined fibre,stripped from kenaf plants without soaking the plants in water for days also njoomoo
maas pòo,,v.p.,máás pòò,to taste alkaline; to taste sour; to taste bitter,
mak,,S.V.,māk,to be enough; to be adequate; to be sufficient,
mak,,v.a.,māk,to be capable; to be able; to be possible,equivalent English 'can' to
mák,,n.,mák,ability; capability; power; capacity,
mal,,n.,māl,of female; same father different mothers; woman from the same extended family or clan as one,term of address used by women in half-sister relationship. Corresponding male term is mol
malshak,,n.,màlfàk,women with the same father but different mothers; women from the same extended family or clan,cf. molshak
man,,V.,mān,to know; to have information,
màn,,n.,màn,knowledge,
mander,,V.,māndār,to forget,also munder
mander,,n.,māndār,forgetfulness,also munder
mang,,V.,màŋ,to be taken for; to be mistaken for; to be treated as,mat ni mang ri a ngutar 'woman the took him as madman' the woman took him for a madman
mang,ghìr,V.,"màŋ, yìr",to take away; to carry off; to steal; to pick up,
mang (...) fyáat,kok (...) fyáat,v.p.,"màŋ f'áát, kōk-",to throw s.o. to the ground in wrestling,ra mang ri fyáat (nyil) she threw him to the ground; ra yàa ri ɓe ra mang fyáat nyil she caught and threw him to the ground
mang (...) fyàat,,v.p.,màŋ f'ààt,to finish a task much earlier than expected,mo mang (dak ni) fyàat they finished the work much earlier expected than
mang kéo,,v.p.,màŋ káá,to outgrow s.O.,
mang kiis,,v.p.,màŋ kis,to eliminate the cause of misfortune,""" usually spiritual means by"
mang libèt,,v.p.,màŋ libèt,to say or do s.t. without authorisation or permission,
mang lièt,,n.p.,màŋ libèt,saying or doing s.t. without authorisation or permission,
mang ngaas,,n.p.,"màŋ ""gáás",practice of lifting a child above the ground level by holding him by the chin and the occiput.,It was jokingly said that it helped the child grow.
mang nkar,,v.p.,"màŋ ""kár",to marry a betrothed to s.o. else woman,
Manggu,,p.n.,māŋgú,"name of town, administrative headquarters of the local government where the Mwaghavul people are the dominant ethnic group.",officially spelled Mangu. The name originated from the early inhabitants who brought euphorbia to the area to serve as hedges. The local etymology is Mang 'to carry' + guu euphorbia.
mangkiis,,n.,màŋkis,misfortune remedying a from the cause,"Mwaghavul believed that something was responsible for every misfortune. Fortune tellers alleged that there must be a kis somewhere within the family, and that unless they eliminated the cause, future calamities would not be averted"
mangkùur,,V.,màŋkùùr,to survey an area of land,
mangkùur,,n.,màŋkùùr,act of surveying an area of land,
mangkùur,,> V.,màŋkùùr,to spy; to snoop,
mangkùur,,,màŋkùùr,act of spying; snooping,also coghol
mangkwet,ghìrkwet,V.,"màŋkwèt, yirk™èt",(saints) to be taken in rapture,
mangkwet,,n.,"mànk""st W",rapture (of saints),
mangshik,,V.,màŋfik,to get yourself into trouble,lit. 'to carry an issue'
mangshik,,n.,mànfik,getting yourself trouble into,lit. 'carrying issue' an
Mangu,,p.n.,māŋgú,official spelling Manggu of,cf. Manggu
mangzung,,V.,mànzùn,to challenge a peer to a wrestling/fighting contest,
mangzung,,n.,mànzùn,challenging a peer to a wrestling/fighting contest,
manman,,n.,màn màn,being educated; intelligent,
manman,,V.,mãn màn,to be educated; intelligent,
manshii,,n,mānfií,comprehension; understanding,
manzang,,n,mànzān,premolars (teeth),
mar,,V,mār,to have swollen patches,(body)
màr,,n,màr,swollen patches on the body,
marwe,,n,marwè,physic nut,"Jatropha curcas. It has many medical applications, including as a laxative for children. Also mmawe, mawe"
mat,shirop,n,màt,woman; wife,
mat Bilaat,,n.p,màt bílààt,Fulɓe woman,
mat cèt mwos,,n.p,mát tfèt mwos,woman who brews local beer; brewer,cf. mat mwos
mat cicet,,n.p,màt thì tết,woman who cooks; cook,
mat kirom,,n.p,màt kíróm,concubine,
mat mwoS,,n.p,mát mos,woman who brews local beer; brewer,cf. mat cèt mwos
mat muyii,,n.p,màt múy,ancestral woman; name used when actual name is being kept confidential,"mat muyii bangshik, ra cèt wáar dang cighir mos 'an ancestral woman performed wonders cooking by sweet cereal drinks that turned alcoholic' said when s.o. does s.t. favourable out of unfavourable circumstances. From the story of an ancient woman who was the first to brew an intoxicating drink to make her uncooperating husband cut their son's hair, which he did joyfully under the influence of the alcohol"
mat mwàan shwaa,,n.p,"màt m"" aàn W",female prostitute; harlot; whore; hooker,also mwàan shwaa
mat nggaa,,n.p,"màt ""gãā n",prostitute; harlot; whore; hooker,"cf. (mat) mwàan shwaa, nggaa"
mat nyim,,n.p,"mat ""yìm",married woman,
mat wáar,,n.p,màt wáár,woman who sells gruel,
matkáa,,n,mátkáá,widow,
matkam,,n,mátkám,female teacher,
matkár,,n.,mátkár,woman engaged to one man who breaks the engagement and marries S.O. else,
matlu,,n. P,mátlú,housewife,
matpàr,,P n.,màtpàr,nursing mother,
matpóo,,P n.,màtpóó,bride; newly wed woman,
matshee,,n.,màtfèè,girl betrothed to s.o.; fiancée,"Sometimes a girl could be betrothed as early as two years old. She stays with her parents until puberty. Marriage Mwaghavul culture is a relationship between the two families rather than the two couples. The parents of the groom initiate the process by first presenting a kim bangle to the young proposed bride. When she accepts the kim, the groom's parents next supply the bride's parents with two tip (bags) of kàs (millet) and kusuk (fonio) for the upkeep of the bride. These items are presented to the in-laws annually until the groom's parents wish to formally take her to their house. This time a guard equivalent of a bottle of mwoor paat (Canarium oil) and nuk are added. The nuk is to be worn by the bride. Later the groom's parents would buy a pot of mwoor paat and mos (local beer) would be prepared and taken to the bride's home, by the groom's paternal uncles along with an already slaughtered ram/goat. At the shyeep kipang the bride would stand there when her groom's father/uncles would nour the mwoor"
matyil,,màtyíl,diminutive superhuman being; Earth's mother,,
mawe,,màwò,physic nut,"Jatropha curcas. It has many medical applications, including as a laxative for children. Also mmawe, marwe",
mbaakwaa,,bààkàà W,large chili pepper,?<H. bàrkòònóó,
mBaawaa,,mbāāwāā,Yoruba,also Mɓak,
mbaawaa,,mbāāwāā,hair-cut style,in which a clean line is cut from one temple to the other through the occiput,
mBak,,mɓāk,Yoruba,also Mbaawaa,
mbám,,mbám,traditional test of manhood,by peers where they cut each other on the back of the shoulders with knife until one surrenders,
mbanti,,mbantí,locally woven worn by men only loin-cloth,< H. bente,
mbarki,,mbárki,migration to the urban area,"SO mbarki to migrate to the urban area, especially to work. cf. put zoo",
mbee,,mcz,grass (similar to tar grass),used specifically for tying millet for threshing. used to tie up bundles of millet when bringing them from the farm. This grass was used for three years It consecutively. was soaked in water before use,
mbeng (kin),,mbèŋ (kin),yam-shaped container,usually made of fan-palm leaves used for storing salt; potash,
mbèng (shwáa),,mbèŋ Jáá,maize cob,,
mbengghii,,mbεŋ yu,small wild tuber,also mbengkoghol. A former favourite of children when rearing sheep and goats in the bush,
mbengkoghol mbii,,mbcŋkǝyǝl mbii,small wild tuber thing; job; task; matter,also mbengghii,
mbii,,mbil,yours (fem. sg.),example sentences at mbina,
mbii aapoo,,"""bìì ààpòò",wonderful thing,lit. 'thing of bare mouth',
mbii ɓwoon,,mbìì ɓóón,beads,worn on the waist by girls or women; waistbeads,
mbii cìn,,mbii fin,task; programme,Wetpàn ki kyaghar a mbii cin diishwal Wetpàn likes difficult tasks. cf. dak cin,
mbii diibish,,mbii diibif,bad thing,cf. mbiibish,
mbii diiret,,mbii diīrēt,good thing,cf. mbiiret,
mbii dinkan,,mbìì dinkàn,evil,lit. 'thing that is wrong',
mbii dyoopee,,mbii d'ɔ̃бpεε,telescope; binoculars,,
mbii fiikut,,"""bìì fiìkút",fan,,
mbii mang kir,,mbìì màŋ kīr,video recorder,,
mbii mang riin,,"""bìì màŋ rīīn",camera,,
mbii naayit,,"""bìì nááyīt",mirror,,
mbii piring,,mbii pirin,non-staple food,"Shwáa a mbiise, kwaakil a mbii piring Maize is a staple food, beans are a non-staple food",
mbii shang shaghal,,bii fan fayàl,ATM card,cf. dyaar shaghal,
mbii shwooppee,,mbii óóppe,shameful act,,
mbii tàng kàt!,,mbiì tàŋ kat,Thank goodness!,When finding what you have been searching for,
mbii yughurpee,,mbii yúɣúrpε,intoxicant,also yughur,
mbiibish,,,s.t. bad,Mainly used in the saying mbiibish tu mbiiret (the bad thing destroyed the good thing). Generally an indirect reference to S.O. who has prevailed against a good person,
mbiikaa,,mbììkāā,cap; hat; headgear,,
mbiikàam,,mbììkààm,s.t. for the masses; for the public,,
mbiikám,,"""bììkám",lesson; measurement tool; s.t. exemplary,,
mbiikiir,,"""bììkiír",fearful person or thing,,
mbiikikop,,"""bììkīkóp",general term for plant planted by people,lit. 'thing that is planted',
mbiikom,,mbiikōm,ear-rings,,
mbiikyéen,,mbiik één,something productive or useful,,
mbiilek,leelek,"""bììlèk, lēēlèk",arms; armoured clothing,,
mbiiloghot,,mbiilǝyòt,attitude; habit; s.t. used to,,
mbiiran,,mbiìràn,writing material,"i.e. pen; pencil, biro, etc",
mbiiret,,mbrĚt,something good,In Mwaghavul culture lumwat (toads) considered are good while frogs are considered bad (although we eat neither frogs nor toads). This gives rise to the saying mbiibish tu mbiiret (the bad thing destroyed the good thing),
mbiiriin,,mbiiriin,photograph; video; film; digital image,cf. riin,
mbiisaam,,"""bììsààm",mat; mattress,,
mbiise,,mbiisé,feed; foostuffs; general name for food or crop; victuals,"as diisi ni yem ndin mbiise ku ni dee si gòkshiròk The dog has not been fed for some time, and it is looking emaciated, gòkshiròk",
mbiishishwaa mbiisi,mo mo,"mbiìfif""āā mbiìsí",something to drink that thing,,
mbiisup,,mbiìsúp,cover cloth; blanket,(name for Idoma),
mBiisup,,mbiìsúp,Ibira people,Mwaghavul name,
mbiitong,,mbiiton,seat; place to sit down; chair; bench,,
mbiitook,,"""bììtóók",necklace; chain,,
mbiiyit,,mbiiyīt,spectacles; reading glasses; sunglasses; shades,,
mbiizughum,,mbììzùyùm,gift; offering; present,,
mbilwus,,mbílwūs,firefly; glow worm,Lampyridae. Flashes on and off in the night. Also mpilwus,
mbimbyol,,mbimbyòl,inflammation of the uvula,Symptoms are that a child has a high temperature and cannot keep down food. H. harwuya,
mbít,,mbít,in the morning,,
mbít-mbít,,mbít mbít,very early in the morning,,
mbibish,,mbibif,devil; mischief-maker,,
mbida,,mbīdā,hers (logophoric),mat ni sat nne lu ni a mida mbida the woman said that the house was hers exclusively. Ra nne mbida ret nda She said that hers was good,
mbidi,,mbīdī,his (logophoric),gwar ni sat nne lu ni a midi mbidi the man said that the house was his exclusively. Ri nne mbidi ret ndi He said that his was good. Ri sat nne mo cin mbidi ndi He said that he should be given what was his. Ri nne ni ret ndi mbidi He said that his was good,
mbighit shii,,mbīɣīt fií,centipede which does not bite,Chilopoda spp. Smaller than nlàá puus. H. shanshani,
mbihol,,mbíhōl,tree sp,Also (m)buhol. Syzygium guineense. Hausa malmo,
mbikikak,,mbikikák,climber sp,Used to make covers for local baskets,
mbilalar,,mbīlālār,"local skiing on a slippery rock using leaves, stone or pumpkin","also mulilal, mmililal",
mbilem,,mbilèm,flame; blaze,also bilem. Ba mo ki wus shwáa shi mbilem kas You do not roast maize with flame,
mbilem wus,,mbilem wūs,flame; blaze,also mbilem. Aa wus ni ki fil àm kilak met mbilem wus Hot embers boil water faster than flame,
mbílíp,,mbilip,louse,"Menopon gallinae. Also ndílíp. Found livestock, on poultry",
mbilir,,mbílìr,flea,Ctenocephalides canis (dog flea) and Pulex (human irritans flea). Found on animals and in beds. Sucks blood of humans and animals,
mbina,,mbīnā,mine,lu ni a mina mbina the house is mine exclusively. Mbina ret nghan mine is good for me. Yi cin mbina nghan give me mine (to a female). Ni ret nghan mbina mine is good,
mbira,,mbīrā,hers,example sentences at mbina,
mbirak,,mbīrāk,(of wood or part of a plant) wet; not fully dry,,
mbiram,,mbīrām,glutton; general name for farm-destroying rats,also mburam,
mbiri,,mbīrī,his,at mbina example sentences,
mbisi,,mbìsí,that thing or person,angry remark,
mbisì,,mbisi,this thing or person,angry remark,
mbudu,,mbūdū,theirs (logophoric),gurum ni mo sat nne lu ni a mudu mbudu the people said that the house theirs exclusively. Mo nne mbudu ret ndun They said that theirs was was good,
mbughu,,Тойуй,yours (pl.),example sentences at mbina,
mbuhol,,mbúhōl,tree sp,"Also mbihol, buhol. Syzygium guineense. Hausa malmo",
mbuk mbuka,,mbùk mbùká,lie; cheating; making false representation; corruption bow,especially in the game of tubwoor. cf. mbwaa,
mbukɓwoor,,,termite sp,"Termite that makes its home in thatched roofs and preys on insects that live there. cf. njar, nfwash",
mbul,,mbūl,"pigeon; dove, generic",H. kúrcíyáá,
mbùl aas,,mbùl ààs,golden oriole,Oriolus auratus,
mbùl àm,,mbùl àm,pigeon sp,'pigeon of water',
mbùl guuk mbul kiráng,mo mo,mbùl gúùk mbul kiráŋ,blue-headed wood dove pigeon sp,gúùk imitates sound of pigeon,
mbùl koon,,mbùl kōōn,green fruit-pigeon,Treron calva,
mbùl ngàng,,"mbùl ""gàŋ",pigeon sp,Columba guinea,
mbùl tulu,,mbùl tùlú,dove,Streptopelia turtur. cf. tulu 'house'. Nowadays doves can be reared in the house,
mbùl yen,,mbùl yen,tambourine dove,Turtur tympanistria. Yen is 'medicine',
mɓuluk,,mbulúk,partly cooked (meat),,
mɓuluk,,mbùlúk,describes soups that require goghor condiment without it,,
mɓuluk,,mbulúk,without its impressions or embossed features (of a coin or other item),,
mbum,,mbúm,traditional hunting cap,,
mbunu,,mbūnū,ours,example sentences at mbina,
mburam,,mbūrām,farm-destroying rats glutton; general name for,also mbiram,
mburnaa,,mbūrnáá,biting fly,Phlebotomidae [?]. Very small biting fly which appears after the rains,
mburu,,mbūrū,theirs,example sentences at mbina,
mburus,,mbúrús,piles,"Pains and swelling in the anus. Caused by constant sitting in one place, eating chili pepper or offending the spirit Mburus. H. ciwon kurga",
mBurus,,mbúrús,spirit that causes and cures mburus (piles),,
mbut,,mɓūt,in; inside; into; within,cf. but,
mbwaa,,mbwāā W,lie; cheating; making false representation; corruption,especially in the game of tubwoor. cf. mbuk,
mbwaalaa,,mbwāālāā,cowpea variety,local beans used specifically for sacrifices to njii (masquerade),
mbwagha,,"""bwāyā",yours (masc. sg.),example sentences at mbina,
mbwaghalong,,mbwāyāloŋ,Abdim's stork,Ciconia abdimii H. shamuwaa,
mbwagham,,mbwàyàm,broomweed,,
mbwagham,,mbwàyàm,soot,that accumulates on the ceiling and walls of a kitchen cf. bish,
mbwaghash,,mbwàyàf,heap of pebbles; cairn,atili nuts used in the game of tubwoor,
mbwaghash mbwaghat cáan,mo mo,"mbwàyàf ""b""āyāt fáán W-","trillion; 1,000,000,000,000 tree sp",,
mbwak,,mbwák,tiger-nut,Cyperus esculentus. Eaten as a snack food. H. aya,
mbwak mina dee ntòghòm,mbwak munu dee ntòghòm,"mbák mìnǎ dée ""tòyòm, mùnů-",said when one is in danger,lit. 'My tiger-nuts have turned into wild nuts',
mbwal,,mbwal,grasshopper sp,"Medium-sized grasshopper, usually seen when harvesting fonio. Travel in small groups or singly",
mbwang,,mbwáŋ,grasshopper sp,Small grey grasshopper which can jump a long distance,
mbwembwere,,mbwembwéré,soup from the fruit of the kibang shrub,"not a draw soup. Shrub has sour flowers. Also bwembwere, puk làa kibang",
mbwet,,mbwέt,tree sp,used for making furniture,
mɓwoon,,mcw,after; later; subsequently,also abwoon,
mɓwoon,,mew,behind,also abwoon. used before nouns. Mo mɓwoon funu they are behind us,
mɓwoon kini,,mɓwón kini,after that; subsequently,"also abwoon kini, aɓwoon mini, mɓwoon mini",
mbwoor,,mbor,mancala; board game,"also tubwoor, ngutak",
mbwóor,,mbóór,lion,Panthera leo. Hausa zaki,
mbyár,,,sound made pounding grains in the mortar,"jiraap mo nkaghan fwo mbyár these girls are competitively, pounding making the sound mbyár",
mbyol ngang,,"mbol ""gàn",central part of the shoot of fan palm,"roasted or cooked. It is eaten either Also myeer ngang, dup ngang",
mbilem jáal,,mɓīlēm dzáál,groundnut pod partly eaten and roughened by termites,mɓilem jáal sháng zam Groundnuts whose pods are eaten by termites are very palatable,
me,,mé,polar question marker,shortened form 'e. Occurs in sentence- final position. Questions which do not presuppose the response. Ra kì so me/'e? 'she PERF go Q'i.e. Has she gone?,
me [...] ye,,mε yε,What?,Pàn fwagha a me ye? 'Thought your FOC what QM' What are you thinking? A me a súm fwagha ye? 'FOC what is name your Q'i.e. What is your name?,
mee,,mèè,one; some; a; another; a certain; one out of many,Indefinite article. Ri cin mee àm ngan He gave me a kind of water. Mee Iwaa ki sham si gidìbis-gidìbis A certain animal is dragging itself along over there. An nɗom mee ngunaalong I will need a herdsman,
mée,,Μέέ,one (out of many),"a cin mée ngan give me one. Also mimee, memee",
mee... ni,,mèè nī,one out of many that are definite,mee lu fwagha ni kì ship One of your houses has collapsed,
mee ár,,mèè ár,another way; another method,,
mee das mo,,mèè dás mó,some people,,
mee pee,,mεè pεε,certain place; somewhere,mee pee ret tòng a certain place is good for habitation,
meel,,máál,describes being full to the brim (liquid),gam méel be filled to capacity,
meen,mulok,"mεen, mūlāk",to burn; to wound; to scald,digyok pal sham meen baas gininòn The delinquent child fell and wounded his leg gininòn,
meer,,mar,to prove incapable of being controlled; performed or operated (person or task),,
meer yen,,mεεr yεn,"to be unable to cure, thereby resulting in death",(of illness),
meer mwaan,,mēēr māān,mobile phone,recent coinage,
meerpee,,mεεrpεε,delinquency; frequent breaking of law; being uncontrollable,,
meerpee,,mεεrpē,to be delinquent or deviant; to frequently break the law; to be uncontrollable,,
mees,,mēēs,"pith of maize, millet, guinea corn, etc.; stiff fleshy part of meat; yolk; flesh or inner part of yam",,
meet,,Μέέι,to be worthless or inconsequential; to be mild,cf. jaap,
meet,,méέt,being worthless inconsequential; being mild or,cf. jaap,
membii,,mi mè bù,something,,
memee,,mèmźć,one of them,"also mimee, mée",
men,,mèn,"to be beautiful, with good looks",,
mengo,,mεngó,somebody; someone,also mengwe,
mengwe,,w mεngé,somebody; someone,also mengo,
mer,,már,to deviate; to give way; to turn off (road)' to branch,,
mer ar,,mér ár,to deviate; to give way,,
met,mirep,mét mīrāp,to jump; to leap,shiitoghon ni mo wet mirep nghik ni mo the soldiers spent the day jumping over the stones,
met,,mét,to surpass; to exceed,,
met,,mét,more; surpassing; than; exceeding more,used in comparative constructions. Delvit su met mPuttaa Delvit runs faster than Puttaa,
met del,mirep del,"mát děl, mīrēp",to jump across; to quickly get to a nearby place,Wu mirep del ku wu kat mun di sì Jump across and meet us here; Ri cighir met del mPushit immediately got to Pushit He,
met del,,mét del,a nearby place that one can get to quickly,"Kat gha a nTilengpaat Бе Pankshin a met del When you are Tilengpaat, at Pankshin is a short distance",
met gòng,mirep gòng,"mét gòn, mīrēp",commit adultery; to to fornicate,lit. 'to jump ditch' Gwar ni met gòng ki mat ki shaar firi The man committed adultery with his friend's wife,
met kaa,mirep kàa,"mét kia, mīrēp",to jump up,,
met sham,mirep sham,"mét fam, mīrēp",to jump down,,
met shíi nkálang,,"métfií ""kálāŋ",game where children hop on one leg,,
met táa,,mét táá,to fall down,,
met tong si,,mét tổng sá,"to sit down in resignation, fear or obedience","wuri met tong si sàlmutat He sits there, sàlmutat",
met pee,mirep pee,"métpēc, mīrēp",to jump over,,
mii,,mii,relation,,
mii,,mìì,awaken to wake up from sleep; to,,
mii fina,,mìì finā,my relation,,
miijee,,miidzē,s.o. whose blood relations have all died,"Also derkyes, miiwen",
miil,,miil,grass sp,Used in constructing the raft-zither,
miir,,mīīr,royal python,Python regius. H. méésàà,
miiwen,,mììwén,have all died s.o. whose blood relations,"Also derkyes, miijee",
mis,myas,"mis, myās",to fetch or drink too much water,,
mis,myas,"mis, myās",to slap s.o,,
mis sar,myas sar,"mis sár, myās -",to slap s.o. with the flat of the hand,,
mish,daas,mif,husband; man; brave man,cf. laamish,
mish shèe,,mif fèè,man betrothed to a woman,cf. mat shèe. In Mwaghavul culture mothers probably due to being peers could initiate marriage between their children to sustain existing relationship etc,
mish tighiring,,mis tīɣirin,stone that serves as the rear leg of a tripod,also dàngpighit. It is smaller than nghik tighiring,
mishkagham,deskagham,miskáɣám,traditional leader; chief; ruler; king,"lit. 'healthy man.' Plural form evolved from daas kagham (daas pl. of mish, man)",
mishkagham kam,deskagham kam,miskāyām kām,paramount traditional ruler of the Mwaghavul; any paramount chief,"lit. ‘healthy man of staff.""",
mishkagham ser,deskagham ser,"miskāyām sēr, dèskāyām-",district head,"In the pre-colonial era, every district was politically independent, and the ser (royal chair) belonged to the district head",
mishpòo,,mifpòò,lip; upper lip lower,can be applied to s.o. with thick lips. Lit. 'husband of mouth',
mishpòo dingween,,mifpòò dingεen W,lower lip,,
miyel,,miyēl,watery part of mwos beer that collects at the top,also pito. Extracted from mwos after  the first brew and allowed to ferment over 24 hours. Sweet in taste but strong in alcohol content,
miyel,,miyēl,yellowish fluid,vomited up by a jaundice patient,
midang,,midāŋ,boy whose circumcision period has not formally ended,"also mudang. Newly circumcised boys cannot eat pepper, left-over food or a grasshoppers. The spikes on grasshopper leg can damage a child's penis and they will suffer all their life",
mighir,,miyir,to twist,,
mijaa,,midzàà,red liquid,that starts dripping during the first stage of potash production,
milam,,mīlām,to rub in little of s.t,also mulam,
mílàm,,mílàm,to be slippery,also múlàm,
mílàm-mílàm,,mílàm mílàm,describes s.t. very slippery,,
milas,,mílás,to be curly like hair that of an infant or a malnourished person (); to perm hair,also pilas,
milem,,mílám,cocoyam; taro (generic),Colocasia esculenta. Also milom,
mílém-mìlèm,,mílém milèm,"cocoyam cultivar, slippery when cooked",also mílóm-milòm,
milep,,mīlēp,to be greenish; to be black and shiny,,
milep,,mīlēp,to experience lightning (sky),,
milèp kì pee,,milèp kì pāā,lightning in the sky,"cf. koot kì pee, indek",
milep-milep,,mīlēp mīlēp,describes s.t. green or dark,,
miling,,miliŋ,to exclusively occupy or take possession of property a,Gwar ni yak dyemnighin firi mo ki máar ku ri miling di ki The man dispossessed his siblings of farmland and is occupying exclusively it,
milom,,mílóm,cocoyam; taro (generic),Colocasia esculenta. milem Also,
mɨlom jimɓwoon,,milɔ̀m jìmɓwɔón,new cocoyam,Xanthosoma mafaffa. Imported from Fyem neighbours in the mid fifties. < H. wááli,
mílóm-milòm,,mílóm milòm,cocoyam cultivar; slippery when cooked,also milém-milèm,
mìmàn,,mimàn,known (fact),,
mimee,,mimźć,one (out of many),"a cin mimee ngan give me one. Also mée, memee",
mimer,,mìmèr,scar (old memory),,
mimyaal,,móm áál,dry tears or slimy substance in one's eyes when one wakes up from sleep in the morning; rheum,also myaal,
mimyeer,,mím cér,bud; shoot,also myeer,
mina,,mìnǎ,mine,lu diisi a mina lit. 'house this is mine',
mindong,,mindòŋ,one (1),cf. dong,
mini,,mìnī,it,third singular person neuter possessive pronoun,
mini,,minī,that,,
minne,,minnè,I don't know; blame yourself (said to s.o. when they ignore warnings),,
mira,muru,"miră, mùrù",hers,third person singular feminine possessive pronoun,
mirep,,mirep,to jump; to leap (pl.),plural of met,
miri,muru,"miri, mùrů",his,third person singular masculine possessive pronoun,
misak,musuk,"misāk, músūk",fact of you being alone (masc. sg.),,
misat,musut,"misāt, músūt",fact of a female being alone,,
mise,,mísé,habit; behaviour; attitude; practice,,
mishik,musuk,"mifik, músūk",fact of you being alone (fem. sg.),,
mishin,musut,"mifin, músūt",fact of a male being alone,,
mizep,,mizèp,stranger; visitor; guest,,
mmaawuu,,"""māāwúú m",shooting an arrow or ball up high in the sky tree or fruit,also mmangwur <H,
mmanggor,,măngòi,mango tree,,
mmangwur,,"""māŋwúr m",shooting an arrow or ball up high in the sky,also mmaawuu,
mmat káa,,màt khá,dragonfly pupa,"Odontidae. Found in streams has many medical applications, including as a laxative for children. Also mawe, marwe",
mme,,mmě,for what reason or purpose? why?,wu nas ri a mme ye? Why did you (pl.) beat him?,
mmèé,,mmèé,probably; perhaps; maybe,"also mmimee, bishmmee, kasmmee",
mmeen,,mmèźn m,to be awake,the,
mmeen,,mɛɛn,to be raw; to be half- cooked,the ideophone derived is mmeen-mmeen,
mmeen-mmeen,,"""mεén ""mèén mɛɛn",describes s.t. half-cooked; nearly raw,,
mmeepee,,™mεèpēε,somewhere,,
mmemee,,mmεméé,probably; maybe; perhaps,"also mmimee, mmee, kasmmee, bishmmee",
mmes,,mmès,"locust beans, plant or fruit",Parkia biglobosa,
mmèt (pòo),,"""mèt pòò",pomposity,,
mmililal,,mmīlīlāl,"local skiing on a slippery rock using leaves, stone or pumpkin","also mbilalar, mulilal",
mmìlók,,mmilók,nose bleeding,,
mmimee,,mmiméć,probably; maybe; perhaps,"mmemee, also mmee, kasmmee, bishmmee",
mminaan,,mmināān,bitterleaf (plant),also mmunaan. Vernonia amygdalina. shiwaka H,
mming,,mmiŋ,insults) buttocks (typically used in,cf. pider. Ba mming fwagha ni ki yaa yil kas your buttocks do not hold soil i.e. you typically wander from place to place,
mmini,,mminī,that,indicates position near the hearer. A gwar ni mmini ‘it- is man the that' that is the man. cf. ndiisi,
mmini,,,,mmini ɓe ba yit kì gurum mo kì wang kas at that time people's eyes had not opened i.e. people were not enlightened,
mmokɗyes,,mmŏkdēs,house sparrow,Passer griseus,
mmukyeen,,mmúky één,reasonable in quantity,,
mmuluu,,mmúlúú,pumpkin,"Cucurbita pepo, C. moschata. Also muluu",
mmun,,mmun,for us; to us,dative of mun,
mmunaan,,mmunāān,bitterleaf (plant),also mminaan. Vernonia amygdalina. H. shiwaka,
mmusut,,mmŭsūt,they alone,,
mmuus,,™múús,cat,<H,
mmùus goghor,,mmùùs kás,itchy part of threshed kenaf,,
mmùus kàs,,mùùs kás,itchy part of threshed millet,,
mmuyii,,mùyí,very long ago,used in the folktale introduction of a,
mmwol,,m W mwŏl,without pubic hair,Also applies to beard and hair of the armpit. Gwar ni a rang mmwol ye? Why is the man without pubic hair? Naghap fira ni a mmwol Her armpit is hairless,
mo,,mó,they; them (inclusive),mo man an they know me. The exclusive form is mumo,
mo,,mó,plural marker,follows the noun it qualifies,
mòghòdish,,moyodif,describes s.t. ugly misshapen or,"til máar ni mo bish aase mòghòdish the ridges of the farm are misshapen, ugly",
mòghòdish,,mòyòdif,describes s.t. tasteless,"mbiise ni bish aase mòghòdish the food is bad, tasteless",
moghor,,mòyor,to chew food,that contains sand with a lot of care,
moghos,,mǝyǝs,to include; to combine; to merge,,
mòkdòghòs,,mokdǝyos,describes s.t. very bad; wrong; misshapen; ugly,bish mòkdòghòs to look very bad,
mòkzòn,,mokzòn,describes s.t. very tasteless or ugly,bish mòkzòn to taste or look very bad,
mòndòs,,mondòs,describes the snout of a pig or a dog but also applied to the human mouth in insults,mòndòs ki pòo kaa as si your mouth is mòndòs like a dog. Pòo firi ni aase mòndòs his mouth is too big,
mòndòs- mòndòs,,mondòs- mondòs,"describes a projecting mouth [the sense is that someone is angry but won't come out and express it, so they purse their mouth]",wuri mwaan ki mondòs- poo mondòs he walks with his mouth mondòs-mondos,
moó,,móó,they do,assimilated form of 'mo ki' (they do). yit kì ngunan ni moó naapee ndire- ndire the eyes of the old man see very well,
moò,,mòò,they have,assimilated form of 'mo ki' (they have). Mizep ni moò jì wul the guests have arrived,
mor,,mór mòs,to twist out of shape local beer made from,also mwos,
mos,,,sorghum or millet,mwos. production takes two days,
mosdong,,mosdòn m,cane rat; cutting grass; grasscutter,Thryonomys swinderianus,
mpáat,,m páát,castrated bull,"cf. gibar, ntibet, nkoor",
